seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score
42,50,50,8.06,5.74,8.06,5.74,0,0,0,0.08635806292295456
43,50,50,8.24,5.32,8.4,4.44,2,0,0,0.10433382540941238
44,50,50,8.08,5.34,8.08,5.34,0,0,0,0.09557712078094482
45,50,50,7.72,5.68,8.76,4.4,4,0,0,0.08134021610021591
46,50,50,8.34,5.2,8.46,4.68,3,0,0,0.10605744272470474
47,50,50,7.54,4.78,7.8,4.06,2,0,0,0.08162881433963776
48,50,50,6.08,4.46,6.68,3.96,2,0,0,0.07688947021961212
49,50,50,10.04,4.12,10.04,4.12,0,0,0,0.1007562205195427
50,50,50,8.92,6.06,10.12,4.0,5,0,0,0.08650121837854385
51,50,50,8.46,5.96,8.68,4.96,3,0,0,0.09478951245546341
52,50,50,8.14,4.1,8.14,4.1,0,0,0,0.10428720712661743
53,50,50,7.68,5.48,8.3,4.26,4,0,0,0.08327556401491165
54,50,50,6.44,4.5,6.44,4.5,0,0,0,0.08277088403701782
55,50,50,7.8,5.72,8.42,4.86,3,0,0,0.10816579312086105
56,50,50,7.72,3.94,7.82,3.6,2,0,0,0.08860868215560913
57,50,50,8.48,3.98,8.78,3.78,2,0,0,0.10477162897586823
58,50,50,8.92,5.22,8.92,5.22,0,0,0,0.0990990549325943
59,50,50,9.78,5.26,10.48,4.72,5,0,0,0.09013082087039948
60,50,50,7.42,5.42,7.68,4.88,2,0,0,0.08825836330652237
61,50,50,7.16,3.22,7.16,3.22,0,0,0,0.09074561297893524
62,50,50,8.04,5.42,8.24,4.2,3,0,0,0.08650609850883484
63,50,50,6.9,5.02,6.9,5.02,0,0,0,0.09637977182865143
64,50,50,7.36,5.3,7.36,5.3,0,0,0,0.08601841330528259
65,50,50,8.9,6.7,9.2,5.64,4,0,0,0.08116760849952698
66,50,50,6.96,5.54,7.26,4.92,2,0,0,0.07745876908302307
