seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,quartile,a_opt_advantage
10042,50,50,6.42,4.1,6.42,4.1,0,0,0,0.07934195548295975,Q1 (low),-2.3200000000000003
10043,50,50,7.66,4.9,7.66,4.9,0,0,0,0.09621107578277588,Q3,-2.76
10044,50,50,10.3,4.58,10.3,4.58,0,0,0,0.10644133388996124,Q4 (high),-5.720000000000001
10045,50,50,9.32,4.68,9.32,4.68,0,0,0,0.09722044318914413,Q3,-4.640000000000001
10046,50,50,7.7,3.94,7.7,3.94,0,0,0,0.08377376198768616,Q1 (low),-3.7600000000000002
10047,50,50,10.36,7.22,10.72,6.82,3,0,0,0.10138779133558273,Q4 (high),-3.1399999999999997
10048,50,50,9.7,5.88,9.9,5.52,2,0,0,0.09624383598566055,Q3,-3.8199999999999994
10049,50,50,7.76,5.02,7.76,5.02,0,0,0,0.09673004597425461,Q3,-2.74
10050,50,50,8.02,4.88,8.16,4.26,2,0,0,0.10112197697162628,Q4 (high),-3.1399999999999997
10051,50,50,8.4,5.22,8.82,4.04,3,0,0,0.08424928784370422,Q1 (low),-3.1800000000000006
10052,50,50,7.82,4.0,7.82,4.0,0,0,0,0.09529981762170792,Q3,-3.8200000000000003
10053,50,50,7.88,6.26,9.08,4.28,7,0,0,0.08578648418188095,Q1 (low),-1.62
10054,50,50,9.24,4.12,9.24,4.12,0,0,0,0.09345231205224991,Q2,-5.12
10055,50,50,9.48,5.98,9.48,5.98,0,0,0,0.10210546851158142,Q4 (high),-3.5
10056,50,50,9.1,3.76,9.1,3.76,0,0,0,0.08944210410118103,Q2,-5.34
10057,50,50,8.66,4.38,8.8,3.5,2,0,0,0.09546515345573425,Q3,-4.28
10058,50,50,9.72,5.96,10.38,5.4,4,0,0,0.10080253332853317,Q4 (high),-3.7600000000000007
10059,50,50,7.74,4.68,7.74,4.68,0,0,0,0.10465754568576813,Q4 (high),-3.0600000000000005
10060,50,50,7.32,5.3,7.96,4.58,4,0,0,0.09533229470252991,Q3,-2.0200000000000005
10061,50,50,8.26,6.16,8.26,6.16,0,0,0,0.09894604235887527,Q3,-2.0999999999999996
10062,50,50,8.1,5.88,8.1,5.88,0,0,0,0.08745913207530975,Q2,-2.2199999999999998
10063,50,50,6.52,4.56,6.76,4.0,2,0,0,0.07745504379272461,Q1 (low),-1.96
10064,50,50,8.52,5.78,8.52,5.78,0,0,0,0.09178737550973892,Q2,-2.7399999999999993
10065,50,50,8.12,4.34,8.12,4.34,0,0,0,0.08750157058238983,Q2,-3.7799999999999994
10066,50,50,9.42,7.96,10.32,6.02,6,0,0,0.09228779375553131,Q2,-1.46
10067,50,50,6.66,4.62,6.66,4.62,0,0,0,0.0727190375328064,Q1 (low),-2.04
10068,50,50,9.06,5.56,9.58,4.34,3,0,0,0.10744790732860565,Q4 (high),-3.500000000000001
10069,50,50,9.18,5.12,9.18,5.12,0,0,0,0.0943450853228569,Q3,-4.06
10070,50,50,8.06,4.16,8.06,4.16,0,0,0,0.09189475327730179,Q2,-3.9000000000000004
10071,50,50,8.1,5.72,8.52,4.88,3,0,0,0.09758101403713226,Q3,-2.38
10072,50,50,7.2,4.38,7.2,4.38,0,0,0,0.09225025773048401,Q2,-2.8200000000000003
10073,50,50,7.36,4.36,7.36,4.36,0,0,0,0.08149364590644836,Q1 (low),-3.0
10074,50,50,7.32,5.82,7.88,4.44,2,0,0,0.08225256204605103,Q1 (low),-1.5
10075,50,50,7.42,5.52,8.04,4.8,3,0,0,0.0879671722650528,Q2,-1.9000000000000004
10076,50,50,6.84,4.56,6.88,4.48,2,0,0,0.08232251554727554,Q1 (low),-2.2800000000000002
10077,50,50,7.4,5.6,7.9,5.2,2,0,0,0.08737019449472427,Q2,-1.8000000000000007
10078,50,50,9.92,5.74,10.16,5.14,2,0,0,0.11216177046298981,Q4 (high),-4.18
10079,50,50,9.76,4.08,9.76,4.08,0,0,0,0.11008784174919128,Q4 (high),-5.68
10080,50,50,8.58,5.9,9.6,5.26,6,0,0,0.08255630731582642,Q1 (low),-2.6799999999999997
10081,50,50,7.58,5.56,7.58,5.56,0,0,0,0.08837896585464478,Q2,-2.0200000000000005
10082,50,50,8.98,4.64,8.98,4.64,0,0,0,0.09388229995965958,Q3,-4.340000000000001
10083,50,50,8.06,4.64,8.06,4.64,0,0,0,0.09942803531885147,Q3,-3.420000000000001
10084,50,50,7.06,3.62,7.06,3.62,0,0,0,0.09946050494909286,Q3,-3.4399999999999995
10085,50,50,9.06,6.2,9.78,5.44,3,0,0,0.09185752272605896,Q2,-2.8600000000000003
10086,50,50,9.1,5.32,9.6,4.62,4,0,0,0.0972653180360794,Q3,-3.7799999999999994
10087,50,50,8.68,5.2,9.16,4.72,2,0,0,0.10429232567548752,Q4 (high),-3.4799999999999995
10088,50,50,9.42,4.16,9.42,4.16,0,0,0,0.10951321572065353,Q4 (high),-5.26
10089,50,50,7.64,6.44,8.08,5.52,2,0,0,0.08552605658769608,Q1 (low),-1.1999999999999993
10090,50,50,9.02,5.14,9.14,4.94,2,0,0,0.09353350847959518,Q3,-3.88
10091,50,50,7.28,5.08,8.06,4.78,2,0,0,0.08192532509565353,Q1 (low),-2.2
10092,50,50,8.4,7.06,8.4,7.06,0,0,0,0.09347586333751678,Q2,-1.3400000000000007
10093,50,50,7.66,4.7,7.66,4.7,0,0,0,0.09272859245538712,Q2,-2.96
10094,50,50,7.66,5.02,7.66,5.02,0,0,0,0.0910109430551529,Q2,-2.6400000000000006
10095,50,50,6.8,3.4,6.8,3.4,0,0,0,0.08113539963960648,Q1 (low),-3.4
10096,50,50,9.3,4.58,9.3,4.58,0,0,0,0.10257791727781296,Q4 (high),-4.720000000000001
10097,50,50,9.56,5.64,10.02,4.08,4,0,0,0.1139683797955513,Q4 (high),-3.920000000000001
10098,50,50,6.82,4.66,7.3,3.7,3,0,0,0.07642010599374771,Q1 (low),-2.16
10099,50,50,8.44,5.46,9.0,5.0,2,0,0,0.08258604258298874,Q1 (low),-2.9799999999999995
10100,50,50,8.54,5.72,8.54,5.72,0,0,0,0.101755790412426,Q4 (high),-2.8199999999999994
10101,50,50,6.38,5.54,6.8,5.3,2,0,0,0.07841271162033081,Q1 (low),-0.8399999999999999
10102,50,50,8.56,4.52,8.56,4.52,0,0,0,0.10521894693374634,Q4 (high),-4.040000000000001
10103,50,50,7.86,5.16,7.86,5.16,0,0,0,0.08642502129077911,Q2,-2.7
10104,50,50,7.56,6.66,7.76,6.24,2,0,0,0.08253566920757294,Q1 (low),-0.8999999999999995
10105,50,50,8.12,4.52,8.12,4.52,0,0,0,0.10073546320199966,Q3,-3.5999999999999996
10106,50,50,6.44,4.28,7.4,4.04,2,0,0,0.08999799191951752,Q2,-2.16
10107,50,50,8.44,4.8,8.7,4.3,2,0,0,0.10965269058942795,Q4 (high),-3.6399999999999997
10108,50,50,10.26,6.3,11.58,4.76,4,0,0,0.10501361638307571,Q4 (high),-3.96
10109,50,50,8.92,5.28,9.76,4.96,4,0,0,0.09256178140640259,Q2,-3.6399999999999997
10110,50,50,8.4,4.92,8.4,4.92,0,0,0,0.10280216485261917,Q4 (high),-3.4800000000000004
10111,50,50,9.02,4.74,9.02,4.74,0,0,0,0.08096332103013992,Q1 (low),-4.279999999999999
10112,50,50,9.66,4.48,9.66,4.48,0,0,0,0.11708669364452362,Q4 (high),-5.18
10113,50,50,7.0,4.66,7.08,4.08,2,0,0,0.09486763179302216,Q3,-2.34
10114,50,50,6.66,4.0,6.66,4.0,0,0,0,0.08634619414806366,Q2,-2.66
10115,50,50,8.48,4.6,8.88,4.08,3,0,0,0.09165749698877335,Q2,-3.880000000000001
10116,50,50,6.34,4.6,6.48,4.34,2,0,0,0.081448033452034,Q1 (low),-1.7400000000000002
10117,50,50,8.68,4.56,8.68,4.56,0,0,0,0.10643915086984634,Q4 (high),-4.12
10118,50,50,8.28,4.96,8.52,4.12,3,0,0,0.08196697384119034,Q1 (low),-3.3199999999999994
10119,50,50,8.84,7.12,9.62,4.76,4,0,0,0.09929514676332474,Q3,-1.7199999999999998
10120,50,50,6.48,4.5,6.48,4.5,0,0,0,0.08015093207359314,Q1 (low),-1.9800000000000004
10121,50,50,7.58,5.34,8.16,4.68,2,0,0,0.08961006999015808,Q2,-2.24
10122,50,50,8.64,4.24,8.64,4.24,0,0,0,0.09394408762454987,Q3,-4.4
10123,50,50,9.16,5.14,9.46,4.3,2,0,0,0.10729440301656723,Q4 (high),-4.0200000000000005
10124,50,50,9.18,7.62,10.52,4.86,7,0,0,0.10811848938465118,Q4 (high),-1.5599999999999996
10125,50,50,9.64,7.52,9.92,6.92,3,0,0,0.09546080231666565,Q3,-2.120000000000001
10126,50,50,8.04,6.28,9.2,5.08,5,0,0,0.09932391345500946,Q3,-1.759999999999999
10127,50,50,7.94,4.76,7.94,4.76,0,0,0,0.08496230840682983,Q1 (low),-3.1800000000000006
10128,50,50,8.82,5.12,8.98,4.64,2,0,0,0.10737904906272888,Q4 (high),-3.7
10129,50,50,8.2,5.52,8.2,5.52,0,0,0,0.08412382006645203,Q1 (low),-2.6799999999999997
