seed,size_a,size_e,avg_applicant_rank_a_opt,avg_employer_rank_a_opt,avg_applicant_rank_e_opt,avg_employer_rank_e_opt,pairs_changed,blocking_a_opt,blocking_e_opt,correlation_score,trial
10042,10,10,2.6,2.5,2.6,2.5,0,0,0,0.10892081260681152,0
10043,10,10,2.7,2.0,2.7,2.0,0,0,0,0.09416104108095169,1
10044,10,10,3.0,2.4,3.0,2.4,0,0,0,0.10074758529663086,2
10045,10,10,2.9,2.3,2.9,2.3,0,0,0,0.10349693894386292,3
10046,10,10,3.4,2.7,3.4,2.7,0,0,0,0.11058387905359268,4
10047,10,10,2.6,2.3,2.6,2.3,0,0,0,0.06657383590936661,5
10048,10,10,3.5,2.8,3.5,2.8,0,0,0,0.08926089853048325,6
10049,10,10,2.9,2.8,2.9,2.8,0,0,0,0.11937033385038376,7
10050,10,10,3.6,2.5,3.6,2.5,0,0,0,0.09015513211488724,8
10051,10,10,4.1,2.2,4.1,2.2,0,0,0,0.14791133999824524,9
10052,10,10,3.6,2.4,3.6,2.4,0,0,0,0.08534612506628036,10
10053,10,10,2.9,2.4,2.9,2.4,0,0,0,0.09393755346536636,11
10054,10,10,2.6,2.4,2.6,2.4,0,0,0,0.08090019226074219,12
10055,10,10,2.3,2.4,2.3,2.4,0,0,0,0.06902265548706055,13
10056,10,10,3.5,3.7,4.4,2.8,3,0,0,0.09781103581190109,14
10057,10,10,2.8,2.0,2.8,2.0,0,0,0,0.0974498838186264,15
10058,10,10,2.3,1.9,2.3,1.9,0,0,0,0.05403804033994675,16
10059,10,10,2.5,2.2,2.5,2.2,0,0,0,0.0892571210861206,17
10060,10,10,3.2,2.0,3.2,2.0,0,0,0,0.050265733152627945,18
10061,10,10,3.7,2.9,3.7,2.9,0,0,0,0.09666524082422256,19
10062,10,10,3.8,1.9,3.8,1.9,0,0,0,0.12481896579265594,20
10063,10,10,3.0,3.1,3.0,3.1,0,0,0,0.0570540577173233,21
10064,10,10,3.2,2.7,3.2,2.7,0,0,0,0.09534565359354019,22
10065,10,10,2.8,1.3,2.8,1.3,0,0,0,0.08606892824172974,23
10066,10,10,3.7,3.1,4.5,2.2,3,0,0,0.14465007185935974,24
10067,10,10,2.4,3.2,2.4,3.2,0,0,0,0.05522877350449562,25
10068,10,10,1.7,2.4,1.7,2.4,0,0,0,0.057844825088977814,26
10069,10,10,3.0,3.1,3.0,3.1,0,0,0,0.09358274191617966,27
10070,10,10,2.9,2.8,2.9,2.8,0,0,0,0.08957263827323914,28
10071,10,10,3.3,2.7,3.3,2.7,0,0,0,0.07886740565299988,29
10072,10,10,3.2,2.2,3.6,1.6,2,0,0,0.10695715248584747,30
10073,10,10,2.3,2.6,2.3,2.6,0,0,0,0.057292189449071884,31
10074,10,10,3.6,3.3,3.6,3.3,0,0,0,0.048157189041376114,32
10075,10,10,2.7,2.6,2.7,2.6,0,0,0,0.10230284929275513,33
10076,10,10,2.4,2.3,2.4,2.3,0,0,0,0.08640746772289276,34
10077,10,10,3.5,3.5,3.8,2.8,2,0,0,0.13330082595348358,35
10078,10,10,2.7,2.9,3.3,2.4,2,0,0,0.1110164001584053,36
10079,10,10,3.3,2.3,3.7,1.4,2,0,0,0.12994012236595154,37
10080,10,10,2.1,2.3,2.1,2.3,0,0,0,0.06753358989953995,38
10081,10,10,3.2,2.3,3.2,2.3,0,0,0,0.060877811163663864,39
10082,10,10,3.2,4.5,3.7,3.4,2,0,0,0.12950173020362854,40
10083,10,10,2.7,3.4,2.7,3.4,0,0,0,0.07280531525611877,41
10084,10,10,3.7,3.1,3.9,2.4,2,0,0,0.10562372207641602,42
10085,10,10,2.6,2.3,2.6,2.3,0,0,0,0.025628792122006416,43
10086,10,10,2.2,1.9,2.2,1.9,0,0,0,0.07796358317136765,44
10087,10,10,2.6,2.0,2.6,2.0,0,0,0,0.07333645969629288,45
10088,10,10,3.3,3.0,3.3,3.0,0,0,0,0.10324472934007645,46
10089,10,10,3.9,3.5,4.2,2.3,2,0,0,0.11993884295225143,47
10090,10,10,3.1,2.0,3.1,2.0,0,0,0,0.10097356885671616,48
10091,10,10,3.3,2.9,3.3,2.9,0,0,0,0.09188401699066162,49
10092,10,10,3.1,2.2,3.1,2.2,0,0,0,0.10596991330385208,50
10093,10,10,3.0,1.5,3.0,1.5,0,0,0,0.11823612451553345,51
10094,10,10,3.0,3.1,3.0,3.1,0,0,0,0.08502445369958878,52
10095,10,10,3.0,2.6,4.0,1.8,2,0,0,0.11194068193435669,53
10096,10,10,2.4,2.5,2.4,2.5,0,0,0,0.06457740068435669,54
10097,10,10,3.7,3.7,4.8,2.4,4,0,0,0.155533567070961,55
10098,10,10,3.1,3.6,3.7,2.2,3,0,0,0.0957394540309906,56
10099,10,10,3.3,2.1,3.3,2.1,0,0,0,0.1198597252368927,57
10100,10,10,3.6,2.7,3.6,2.7,0,0,0,0.11185230314731598,58
10101,10,10,2.5,2.7,2.5,2.7,0,0,0,0.060354869812726974,59
10102,10,10,2.6,2.7,2.6,2.7,0,0,0,0.10933590680360794,60
10103,10,10,2.2,2.5,2.2,2.5,0,0,0,0.0620754137635231,61
10104,10,10,2.6,2.1,2.6,2.1,0,0,0,0.09353143721818924,62
10105,10,10,2.3,2.3,2.3,2.3,0,0,0,0.08534436672925949,63
10106,10,10,2.7,2.8,2.7,2.8,0,0,0,0.09806708246469498,64
10107,10,10,4.0,2.6,4.0,2.6,0,0,0,0.10865554958581924,65
10108,10,10,3.1,2.9,3.1,2.9,0,0,0,0.09013232588768005,66
10109,10,10,2.9,2.6,2.9,2.6,0,0,0,0.10707737505435944,67
10110,10,10,2.9,3.6,3.6,3.0,2,0,0,0.08565320819616318,68
10111,10,10,2.4,2.3,2.4,2.3,0,0,0,0.0724596455693245,69
10112,10,10,3.2,3.3,3.8,2.8,2,0,0,0.09502441436052322,70
10113,10,10,2.4,2.4,2.4,2.4,0,0,0,0.06854289770126343,71
10114,10,10,2.5,2.3,2.5,2.3,0,0,0,0.09355486184358597,72
10115,10,10,2.7,3.1,2.7,3.1,0,0,0,0.06249423697590828,73
10116,10,10,2.7,2.9,2.7,2.9,0,0,0,0.08065155148506165,74
10117,10,10,3.1,3.9,3.1,3.9,0,0,0,0.05379907414317131,75
10118,10,10,3.1,2.9,3.1,2.9,0,0,0,0.06241286173462868,76
10119,10,10,2.4,2.7,2.4,2.7,0,0,0,0.09037420898675919,77
10120,10,10,2.4,2.3,2.4,2.3,0,0,0,0.06507579982280731,78
10121,10,10,3.6,3.0,3.6,3.0,0,0,0,0.07250037789344788,79
10122,10,10,2.7,2.0,2.7,2.0,0,0,0,0.0960327759385109,80
10123,10,10,3.4,2.7,3.4,2.7,0,0,0,0.09898680448532104,81
10124,10,10,2.2,2.5,2.2,2.5,0,0,0,0.07236476987600327,82
10125,10,10,2.6,3.1,2.6,3.1,0,0,0,0.06524118781089783,83
10126,10,10,3.3,3.4,3.7,2.7,2,0,0,0.09777554869651794,84
10127,10,10,3.9,2.3,3.9,2.3,0,0,0,0.1021820604801178,85
10128,10,10,2.7,2.5,2.7,2.5,0,0,0,0.09684155881404877,86
10129,10,10,2.0,1.7,2.0,1.7,0,0,0,0.07977995276451111,87
10130,10,10,3.9,1.8,3.9,1.8,0,0,0,0.14520156383514404,88
10131,10,10,3.6,2.5,3.6,2.5,0,0,0,0.10804497450590134,89
